2020-01-27 21:24:08,781 | INFO  | Establishing network connection from vm://broker-1?async=false&network=true to tcp://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2020-01-27 21:24:08,782 | INFO  | Connector vm://broker-1 Started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2020-01-27 21:24:08,783 | INFO  | broker-1 Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-1
2020-01-27 21:24:08,785 | INFO  | broker-1 bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-1
2020-01-27 21:24:08,785 | INFO  | Connector vm://broker-1 Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2020-01-27 21:24:08,785 | WARN  | Could not start network bridge between: vm://broker-1?async=false&network=true and: tcp://localhost:61626 due to: java.net.ConnectException: Connection refused (Connection refused) | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2020-01-27 21:24:10,786 | INFO  | Establishing network connection from vm://broker-1?async=false&network=true to tcp://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-2
2020-01-27 21:24:10,787 | INFO  | Connector vm://broker-1 Started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-2
2020-01-27 21:24:10,789 | INFO  | broker-1 Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-2
2020-01-27 21:24:10,790 | INFO  | broker-1 bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-2
2020-01-27 21:24:10,791 | INFO  | Connector vm://broker-1 Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-2
2020-01-27 21:24:10,791 | WARN  | Could not start network bridge between: vm://broker-1?async=false&network=true and: tcp://localhost:61626 due to: java.net.ConnectException: Connection refused (Connection refused) | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-2
2020-01-27 21:24:14,794 | INFO  | Establishing network connection from vm://broker-1?async=false&network=true to tcp://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2020-01-27 21:24:14,795 | INFO  | Connector vm://broker-1 Started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2020-01-27 21:24:14,795 | INFO  | Connector vm://broker-1 Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2020-01-27 21:24:14,795 | INFO  | broker-1 Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-1] Task-1
