2020-01-27 21:27:44,317 | INFO  | broker-2 Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-2] Task-3
2020-01-27 21:27:44,318 | INFO  | broker-2 bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-2] Task-3
2020-01-27 21:27:44,319 | INFO  | Connector vm://broker-2 Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2020-01-27 21:27:44,319 | WARN  | Could not start network bridge between: vm://broker-2?async=false&network=true and: tcp://localhost:61616 due to: java.net.ConnectException: Connection refused (Connection refused) | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2020-01-27 21:27:45,521 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-49627-1580140576966-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-18
2020-01-27 21:27:45,522 | INFO  | Network Connector DiscoveryNetworkConnector:Q:B1-NC:BrokerService[broker-2] Stopped | org.apache.activemq.network.NetworkConnector | Thread-18
2020-01-27 21:27:46,098 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-18
2020-01-27 21:27:46,101 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData-2/broker-2/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-18
2020-01-27 21:27:46,101 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-18
2020-01-27 21:27:46,101 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-18
2020-01-27 21:27:46,102 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-18
2020-01-27 21:27:46,416 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-49627-1580140576966-0:1) uptime 2 minutes | org.apache.activemq.broker.BrokerService | Thread-18
2020-01-27 21:27:46,416 | INFO  | Apache ActiveMQ 5.8.0 (broker-2, ID:Abhijeets-MacBook-Pro.local-49627-1580140576966-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-18
2020-01-27 21:27:46,417 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Mon Jan 27 21:25:35 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-18
2020-01-27 21:27:46,450 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-18
