2020-01-26 10:53:45,686 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:53:45,693 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:53:55,695 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:54:05,698 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:54:15,876 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:54:15,888 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:54:15,889 | INFO  | Recovery replayed 6 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:54:16,028 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63397-1580016255902-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:54:16,041 | INFO  | Listening for connections at: tcp://localhost:61616?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-26 10:54:16,041 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2020-01-26 10:54:16,042 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63397-1580016255902-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:54:16,042 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:54:16,380 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 10:54:16,472 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 10:54:16,516 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-01-26 12:16:59,876 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63397-1580016255902-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 12:17:01,443 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2020-01-26 12:17:01,449 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData/broker2/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2020-01-26 12:17:01,449 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 12:17:01,449 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 12:17:01,450 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 12:17:01,954 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63397-1580016255902-0:1) uptime 1 hour 23 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 12:17:01,954 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63397-1580016255902-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 12:17:01,954 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 10:53:45 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
